,minute,second,quarter,fav,prob,Home Odds,Away Odds
0,14,18,1, DET,65.5,-213.0,170.0
1,13,48,1, DET,64.3,-201.0,162.0
2,13,12,1, DET,64.0,-199.0,160.0
3,12,30,1, DET,61.2,-175.0,142.0
4,11,49,1, DET,60.5,-170.0,138.0
5,11,17,1, DET,62.0,-182.0,147.0
6,11,11,1, DET,57.6,-151.0,123.0
7,10,30,1, DET,59.5,-163.0,133.0
8,9,48,1, DET,55.6,-139.0,113.0
9,9,30,1, DET,52.7,-123.0,101.0
10,8,49,1, DET,57.0,-147.0,120.0
11,8,24,1, SEA,51.3,-105.0,-116.0
12,8,16,1, SEA,52.7,101.0,-123.0
13,7,46,1, SEA,54.1,107.0,-130.0
14,7,41,1, SEA,56.2,116.0,-142.0
15,7,5,1, DET,54.6,-133.0,109.0
16,6,47,1, DET,58.3,-155.0,126.0
17,6,17,1, DET,54.8,-134.0,110.0
18,5,41,1, SEA,52.0,-102.0,-120.0
19,5,12,1, DET,51.5,-117.0,-104.0
20,4,35,1, SEA,55.3,112.0,-137.0
21,4,26,1, SEA,56.8,119.0,-146.0
22,3,51,1, SEA,57.2,121.0,-148.0
23,3,12,1, SEA,60.4,138.0,-170.0
24,3,7,1, SEA,60.7,139.0,-172.0
25,2,23,1, SEA,56.4,117.0,-143.0
26,1,46,1, SEA,56.7,118.0,-145.0
27,1,25,1, SEA,53.3,103.0,-126.0
28,0,49,1, SEA,56.6,118.0,-144.0
29,0,15,1, SEA,56.2,116.0,-142.0
30,15,0,2, DET,50.0,111.0,111.0
31,14,23,2, SEA,53.7,105.0,-128.0
32,14,0,2, SEA,54.2,107.0,-131.0
33,13,22,2, SEA,53.7,105.0,-128.0
34,13,7,2, SEA,50.8,-107.0,-114.0
35,12,32,2, SEA,52.7,101.0,-123.0
36,12,7,2, SEA,57.2,121.0,-148.0
37,11,27,2, SEA,59.8,134.0,-165.0
38,10,48,2, SEA,58.4,127.0,-156.0
39,10,42,2, SEA,55.1,111.0,-136.0
40,10,6,2, SEA,52.6,100.0,-123.0
41,9,17,2, SEA,52.6,100.0,-123.0
42,9,8,2, SEA,61.4,143.0,-177.0
43,9,2,2, SEA,62.5,150.0,-186.0
44,8,32,2, SEA,63.8,158.0,-197.0
45,7,58,2, SEA,59.7,134.0,-165.0
46,7,26,2, SEA,61.5,144.0,-178.0
47,6,52,2, SEA,67.8,188.0,-237.0
48,6,42,2, SEA,66.4,177.0,-222.0
49,6,22,2, SEA,65.3,169.0,-211.0
50,5,43,2, SEA,78.5,317.0,-426.0
51,5,4,2, SEA,82.2,393.0,-554.0
52,4,36,2, SEA,82.8,408.0,-580.0
53,4,3,2, SEA,84.2,446.0,-652.0
54,3,41,2, SEA,79.9,342.0,-468.0
55,3,3,2, SEA,79.5,335.0,-456.0
56,2,56,2, SEA,78.4,315.0,-424.0
57,2,29,2, SEA,77.3,297.0,-395.0
58,2,0,2, SEA,76.6,286.0,-378.0
59,1,30,2, SEA,75.7,273.0,-359.0
60,1,5,2, SEA,77.7,303.0,-405.0
61,1,0,2, SEA,69.6,204.0,-258.0
62,0,34,2, SEA,73.8,248.0,-322.0
63,0,25,2, SEA,75.5,270.0,-355.0
64,0,20,2, SEA,78.8,322.0,-435.0
65,15,0,3, SEA,66.7,179.0,-225.0
66,14,49,3, SEA,88.2,599.0,-975.0
67,14,48,3, SEA,89.0,641.0,-1076.0
68,14,15,3, SEA,89.4,663.0,-1135.0
69,13,42,3, SEA,87.6,571.0,-910.0
70,13,11,3, SEA,88.6,619.0,-1024.0
71,12,34,3, SEA,89.0,641.0,-1076.0
72,11,54,3, SEA,91.4,801.0,-1539.0
73,11,16,3, SEA,90.8,755.0,-1393.0
74,11,4,3, SEA,93.1,964.0,
75,10,34,3, SEA,94.4,1135.0,
76,10,5,3, SEA,94.3,1120.0,
77,9,46,3, SEA,94.1,1090.0,
78,9,6,3, SEA,94.1,1090.0,
79,8,20,3, SEA,94.3,1120.0,
80,7,33,3, SEA,91.2,785.0,-1487.0
81,7,29,3, SEA,89.9,694.0,-1216.0
82,7,11,3, SEA,90.9,762.0,-1415.0
83,6,30,3, SEA,72.5,233.0,-300.0
84,6,1,3, SEA,73.7,247.0,-320.0
85,5,23,3, SEA,79.0,326.0,-441.0
86,4,51,3, SEA,79.6,337.0,-459.0
87,4,15,3, SEA,82.3,395.0,-558.0
88,3,35,3, SEA,78.7,320.0,-432.0
89,3,26,3, SEA,80.6,357.0,-492.0
90,2,59,3, SEA,78.4,315.0,-424.0
91,2,29,3, SEA,85.8,499.0,-755.0
92,1,45,3, SEA,87.2,554.0,-871.0
93,1,29,3, SEA,85.5,488.0,-733.0
94,0,46,3, SEA,80.3,350.0,-481.0
95,0,34,3, SEA,79.1,327.0,-443.0
96,0,33,3, SEA,94.8,1199.0,
97,0,11,3, SEA,84.2,446.0,-652.0
98,15,0,4, SEA,87.5,567.0,-900.0
99,14,23,4, SEA,77.5,300.0,-400.0
100,14,5,4, SEA,77.3,297.0,-395.0
101,13,38,4, SEA,82.3,395.0,-558.0
102,12,58,4, SEA,82.5,400.0,-567.0
103,12,24,4, SEA,85.4,485.0,-726.0
104,11,40,4, SEA,86.0,506.0,-770.0
105,11,34,4, SEA,91.4,801.0,-1539.0
106,11,5,4, SEA,91.4,801.0,-1539.0
107,10,26,4, SEA,90.5,733.0,-1329.0
108,9,42,4, SEA,90.2,713.0,-1270.0
109,9,32,4, SEA,91.9,843.0,-1686.0
110,9,28,4, SEA,88.4,609.0,-999.0
111,8,59,4, SEA,90.4,726.0,-1308.0
112,8,27,4, SEA,87.6,571.0,-910.0
113,7,50,4, SEA,90.5,733.0,-1329.0
114,7,45,4, SEA,91.9,843.0,-1686.0
115,7,16,4, SEA,94.9,1216.0,
116,7,7,4, SEA,85.5,488.0,-733.0
117,6,33,4, SEA,82.2,393.0,-554.0
118,6,7,4, SEA,80.5,355.0,-488.0
119,5,59,4, SEA,85.5,488.0,-733.0
120,5,26,4, SEA,75.8,275.0,-361.0
121,4,52,4, SEA,72.7,236.0,-303.0
122,4,10,4, SEA,73.6,246.0,-318.0
123,3,44,4, SEA,82.7,405.0,-576.0
124,3,2,4, SEA,80.3,350.0,-481.0
125,2,28,4, SEA,80.0,344.0,-471.0
126,2,14,4, SEA,99.5,,
127,2,8,4, SEA,99.1,,
128,1,54,4, SEA,98.2,,
129,1,48,4, SEA,98.6,,
130,1,38,4, SEA,92.5,900.0,
131,1,14,4, SEA,96.4,1539.0,
132,1,4,4, SEA,95.1,1251.0,
133,0,54,4, SEA,99.9,,
134,0,30,4, SEA,99.9,,
135,0,0,4, SEA,100.0,,
